equipment,tag_name,tag_count,tag_type
6105QC型,喷油泵,4,器件
CA1092E运输车,发动机,73,器件
CA1092E运输车,开锅故障,2,故障
CA1092E运输车,责任心不强,33,行为
EQ1090E型汽车,二极管,3,器件
EQ1090型汽车,离合器,10,器件
EQ1090型汽车,变速器,9,器件
EQ1090型汽车,发电机,6,器件
EQ1090型汽车,齿轮,5,器件
EQ1090型汽车,气缸,5,器件
EQ1090型汽车,化油器,5,器件
EQ1090型汽车,蓄电池,5,器件
EQ1090型汽车,保险丝,5,器件
EQ1090型汽车,散热器,4,器件
EQ1090型汽车,车垫,3,器件
EQ1090型汽车,火花塞,3,器件
EQ1090型汽车,点火线圈,3,器件
EQ1090型汽车,电流表,2,器件
EQ1090型汽车,起动机轴承,2,器件
EQ1090型汽车,轴承,2,器件
EQ1090型汽车,制动器,2,器件
EQ1090型汽车,垫板,1,器件
EQ1090型汽车,汽油泵,1,器件
EQ1090型汽车,分缸线,1,器件
EQ1090型汽车,钢板销衬套,1,器件
EQ1090型汽车,水箱盖,1,器件
EQ1090型汽车,电器传动轴,1,器件
EQ1090型汽车,曲轴箱通风单向阀,1,器件
EQ1090型汽车,机油泵,1,器件
EQ1090型汽车,曲轴箱,1,器件
EQ1090型汽车,垫片,1,器件
EQ1090型汽车,方向盘,1,器件
EQ1090型汽车,行驶无力,13,故障
EQ1090型汽车,异响,8,故障
EQ1090型汽车,冒黑烟,8,故障
EQ1090型汽车,"起动困难 ",6,故障
EQ1090型汽车,容易熄火,4,故障
EQ1090型汽车,车灯不亮,3,故障
EQ1090型汽车,齿轮损坏,2,故障
EQ1090型汽车,爆燃,2,故障
EQ1090型汽车,发电机故障,2,故障
EQ1090型汽车,气缸盖碗形塞锈穿,1,故障
EQ1090型汽车,气缸盖锈穿,1,故障
EQ1090型汽车,汽油泵故障,1,故障
EQ1090型汽车,分缸线故障,1,故障
EQ1090型汽车,漏油,1,故障
EQ1090型汽车,行驶摇头,1,故障
EQ1090型汽车,漏水,1,故障
EQ1090型汽车,发动机固定螺栓松脱,1,故障
EQ1090型汽车,电器传动轴松动,1,故障
EQ1090型汽车,变速器跳挡,1,故障
EQ1090型汽车,蓄电池损坏,1,故障
EQ1090型汽车,大量漏油,1,故障
EQ1090型汽车,跳挡,1,故障
EQ1090型汽车,熄火困难,1,故障
EQ1090型汽车,转向困难,1,故障
EQ1090型汽车,方向盘故障,1,故障
EQ1090型汽车,触点烧蚀,1,故障
EQ1090型汽车,耗油过大,1,故障
EQ1090型汽车,上次修理失当,36,行为
EQ1090油罐车,飞轮,2,器件
EQ1090油罐车,飞轮损坏,1,故障
EQ1090运水车,绝缘垫,1,器件
EQ1090运水车,电路故障,2,故障
EQ1090运水车,冒黑烟，动力不足,1,故障
EQ1091型汽车,变速困难,2,故障
EQ1092F1A型汽车,贮气筒,2,器件
EQ144型汽车,轮胎,2,器件
EQ144型汽车,轮胎异常,1,故障
EQ2080型汽车,起动机,14,器件
EQ2102型,制动阀,3,器件
EQ240巡逻车,动力不足,7,故障
EQ240巡逻车箭炮车,螺母,1,器件
EQ240巡逻车箭炮车,化油器异响,1,故障
EQ245牵引车,五缸连杆瓦,1,器件
EQll08G6D型柴油车,储油罐,1,器件
EQll08G6D型柴油车,换挡困难,5,故障
EQll08G型柴油车,车灯,2,器件
HY473（6×6）牵引车,点火开关,9,器件
HY473（6×6）牵引车,单向阀弹簧,1,器件
HY473（6×6）牵引车,修理不当,43,行为
HY962半挂平板车,柱塞锈蚀,1,故障
HY962半挂平板车,知道故障不修理,30,行为
WJ94装甲防暴,发动机不能启动,1,故障
WJ94装甲防暴车,转向灯,1,器件
WJ94装甲防暴车,加速时有节奏的异响,1,故障
WJ94装甲防暴车,转向灯点亮时闪烁的频率比平时快,1,故障
WJ94轮式装甲防暴车,燃润料消耗异常,1,故障
WS-1B自行火箭炮,排气系统,1,器件
WS-1B自行火箭炮车,冷却系统,2,器件
WS-1B自行火箭炮车,螺钉,1,器件
WS-1B自行火箭炮车,过热现象,1,故障
WS-1B自行火箭炮车,耗油量明显增加、运行中加速不良,1,故障
WZ901保安车,火线圈，点火开关,1,器件
WZ901保安车,分离轴,1,器件
WZ901保安车,水箱“开锅”,2,故障
WZ901保安车,爬坡无力,1,故障
WZ901保安车,气缸不工作,1,故障
WZ901保安车,分离轴承烧蚀引发的故障,1,故障
WZ901保安车,变速器出现齿轮撞击声,1,故障
WZ901保安车,不懂保养汽车,38,行为
WZ901轮式装甲安全车,气缸垫,3,器件
WZ901轮式装甲安全车,履带,2,器件
WZ901轮式装甲安全车,三元催化转换器,1,器件
WZ901轮式装甲安全车,单缸,1,器件
WZ901轮式装甲安全车,交流发电机,1,器件
WZ901轮式装甲安全车,履带断裂,2,故障
WZ901轮式装甲安全车,单缸电时试验机不能起动探因,1,故障
WZ901轮式装甲安全车,交流发电机不发电故障,1,故障
WZ901轮式装甲安全车,排气管“隆、隆”声,1,故障
ZSL92式轮式步兵战车,点火器,1,器件
ZSL92式轮式步兵战车,螺栓垫片,1,器件
ZSL92式轮式步兵战车,电路,1,器件
ZSL92式轮式步兵战车,熔丝,1,器件
ZSL92式轮式步兵战车,启动困难,48,故障
ZSL92式轮式步兵战车,发动机启动困难,2,故障
ZSL92式轮式步兵战车,油路中的空气排不净,1,故障
ZSL92式轮式步兵战车,发动机连续“抱轴”,1,故障
ZSL92式轮式步兵战车,熔丝连续熔断,1,故障
ZSL92式轮式步兵战车,柴油机着火敲击声,1,故障
ZSL92式轮式步兵战车,粗心,30,行为
一汽捷达,飞轮壳易损坏,1,故障
上汽奇瑞,油表,1,器件
上汽奇瑞,油表指针下降得很慢,1,故障
上海别克GL,变速器乱档,1,故障
东风EQ1090E,水温表,2,器件
东风EQ1090E,机油,1,器件
东风EQ1090E,烧机油,1,故障
东风EQ1090E,突然熄火后不能启动,1,故障
东风EQ1091运输车,定位销,1,器件
东风EQ1091运输车,变速器跳档,1,故障
东风勇士,熄火,8,故障
东风猛士,传动皮带,2,器件
东风猛士,风扇皮带,2,器件
东风猛士,转向系,1,器件
东风猛士,发动机异响,6,故障
东风猛士,交流发电机充电电流不稳定,4,故障
东风运水车,排出大量蓝烟,1,故障
东风运输车,火花塞陶,1,器件
东风运输车,消声器冒黑烟,1,故障
东风铁甲,开锅,4,故障
五岳TAZ3090,螺帽,2,器件
五岳TAZ3090,电磁阀,1,器件
五岳TAZ3090,信号线,1,器件
五岳TAZ3090,电阻,1,器件
五岳TAZ3090,转子轴,1,器件
五岳TAZ3090,电刷,1,器件
五岳TAZ3090,调节器,1,器件
五岳TAZ3090,感应线圈,1,器件
五岳TAZ3090,水温传感器,1,器件
五岳TAZ3090,气泵皮带,1,器件
五岳TAZ3090,冷启动困难,3,故障
五岳TAZ3090,蓄电池突然损坏,2,故障
五岳TAZ3090,换档冲击,1,故障
五岳TAZ3090,高压无火,1,故障
五岳TAZ3090,点火线圈突然爆炸,1,故障
五岳TAZ3090,起动机故障,1,故障
北汽勇士,正时齿轮,3,器件
北汽勇士,制动毂，蹄片,1,器件
北汽勇士,连杆轴承，轴颈,1,器件
北汽勇士,气门推杆,1,器件
北汽勇士,机油压力指示灯,1,器件
北汽勇士,进排气歧管衬垫,1,器件
北汽勇士,凸轮轴轴,1,器件
北汽勇士,正时齿轮发响,3,故障
北汽勇士,仪表不显示,1,故障
北汽勇士,制动液温度过高，刹车失灵,1,故障
北汽勇士,加速时机油压力指示灯会点亮,1,故障
北汽勇士,进排气歧管衬垫烧穿,1,故障
北汽勇士,凸轮轴轴承响,1,故障
北起BCW5122JQZ,柴油机,2,器件
北起BCW5122JQZ,气泵一轴承,1,器件
北起BCW5122JQZ,“哧哧”声,1,故障
北起BCW5122JQZ,急加速不良,1,故障
北起CWY12,锁片,1,器件
北起CWY12,锁止失效,1,故障
奇瑞SQR7160ET车,电脑模块,4,器件
奔驰2026,转向盘,1,器件
奔驰2026,行驶时车辆的转向盘难于操纵,1,故障
奔驰2026,发动机动力下降,1,故障
奔驰2026（6×6）8吨级越野车,凸轮轴承,1,器件
奥迪A1,空气流量计,1,器件
奥迪A1,风扇离合器,1,器件
奥迪A1,引擎,1,器件
奥迪A1,汽油消耗量过大,2,故障
奥迪A1,发动机缺火,1,故障
奥迪A1,冷却系统故障,1,故障
奥迪A1,电阻断路,1,故障
奥迪A1,发电机充电量过大,1,故障
奥迪A1,起动机不转动,1,故障
奥迪A2,变速器换挡困难,1,故障
奥迪A3,搭铁线,3,器件
奥迪A3,发动机故障,19,故障
奥迪A6,氧传感器,2,器件
奥迪A6,PCV阀,1,器件
奥迪A6,低压管,1,器件
奥迪A6,防盗器,1,器件
奥迪A6,汽缸垫,1,器件
奥迪A6,离合器故障,4,故障
奥迪A6,空调故障,3,故障
奥迪A6,无倒档,1,故障
奥迪A6,熄火，发动不着,1,故障
奥迪Q3,组合仪表,1,器件
奥迪Q3,水温高,11,故障
帕萨特B4,车窗,1,器件
帕萨特B4,打转向沉重费力,1,故障
帕萨特B4,电压的原因,1,故障
日产蓝鸟U13轿车,不能起动,1,故障
机油泵驱动齿轮,骊山LS6911,1,器件
机油泵驱动齿轮,机油泵驱动齿轮异响故障,1,故障
松辽SLQ6502,变速箱,1,器件
松辽SLQ6502,启动机,1,器件
松辽SLQ6502,起动机空转,1,故障
松辽SLQ6502,费油,1,故障
松辽SLQ6502,启动机故障,1,故障
松辽YJ6501,灯泡座,1,器件
松辽YJ6501,分电器盖窜电,1,故障
松辽YJ6501,制动跑偏故障,1,故障
松辽YJ6501,离合器传动销故障,1,故障
松辽YJ6501,灯泡座被污物覆盖,1,故障
松辽YJ6501,高温易熄火,1,故障
枭龙XL2060,进油管,2,器件
枭龙XL2060,点火控制器,2,器件
枭龙XL2060,油管,1,器件
枭龙XL2060,电机,1,器件
枭龙XL2060,活动触点臂,1,器件
枭龙XL2060,节气门,1,器件
枭龙XL2060,发动机动力不足,4,故障
枭龙XL2060,中控锁故障,1,故障
桑塔纳,油表显示器,1,器件
桑塔纳,油表不准,1,故障
桑塔纳2000GSi,制动液,1,器件
桑塔纳2000GSi,制动不灵敏,1,故障
毕加索ABS,车体有异响,1,故障
汉阳HY4320S半挂牵引车,链条,2,器件
汉阳HY4320S半挂牵引车,曲轴位置传感器，发动机电子控制器ECU插接头,1,器件
汉阳HY4320S半挂牵引车,电磁开关,1,器件
汉阳HY4320S半挂牵引车,起动机转动无力,2,故障
汉阳HY4320S半挂牵引车,倒车灯不亮,1,故障
汉阳HY4320S半挂牵引车,发动机机油压力指示表显示异常,1,故障
汉阳HY4320S半挂牵引车,起动机运转无力,1,故障
汉阳HY4320S半挂牵引车,发动机烧机油故障,1,故障
汉阳HY473AS半挂牵引车,喷油器,2,器件
汉阳HY473AS半挂牵引车,节温器，冷却系,1,器件
汉阳HY473AS半挂牵引车,二极管接线螺杆,1,器件
汉阳HY473AS半挂牵引车,节气门位置传感器怠速开关,1,器件
汉阳HY473AS半挂牵引车,起动机损坏,1,故障
汉阳HY473AS半挂牵引车,熄火难,1,故障
汉阳HY473AS半挂牵引车,操作分心,42,行为
沈飞猎鹰,曲轴,3,器件
沈飞猎鹰,充电指示灯,2,器件
沈飞猎鹰,驱动齿轮,1,器件
沈飞猎鹰,怠速控制阀,1,器件
沈飞猎鹰,充电指示灯不灭,2,故障
沈飞猎鹰,起动系疑难故障,1,故障
海虹QYJ5,弹簧,1,器件
海虹QYJ5,活塞环,1,器件
海虹QYJ5,汽车摆头,1,故障
海虹QYJ5,"发动机低速时的""吱吱""声",1,故障
燕京YJ6501,排气管,8,器件
燕京YJ6501,节温器,4,器件
燕京YJ6501,喷油提前角,1,器件
燕京YJ6501,排气管冒黑烟,4,故障
燕京YJ6501,转向沉重,2,故障
燕京YJ6501,发动机噪声大,2,故障
燕京YJ6501,制动阀漏气故障,2,故障
燕京YJ6501,气门脚响,1,故障
爱丽舍,车内,1,器件
爱丽舍,车间异味,1,故障
猎豹飞腾,消声器,2,器件
猎豹飞腾,刹车线,2,器件
猎豹飞腾,输出泵,2,器件
猎豹飞腾,排气门,1,器件
猎豹飞腾,线,1,器件
猎豹飞腾,通气口,1,器件
猎豹飞腾,分电器,1,器件
猎豹飞腾,三元催化器,1,器件
猎豹飞腾,轴承盖螺栓,1,器件
猎豹飞腾,刹车失灵,2,故障
猎豹飞腾,输油泵故障,2,故障
猎豹飞腾,灯常亮,1,故障
猎豹飞腾,自动变速器不跳四档故障,1,故障
猎豹飞腾,经常不来油,1,故障
猎豹飞腾,发动机间歇性无法启动,1,故障
猎豹飞腾,不能启动,1,故障
茶花KQC1042B,真空阀,1,器件
茶花KQC1042B,中控门锁,1,器件
茶花KQC1042B,制动时熄火,1,故障
茶花KQC1042B,制动气压不足,1,故障
茶花KQC1042B,中控门锁突然失灵故障,1,故障
茶花KQC1042B,无法启动,1,故障
解放CA1090,制动踏板,1,器件
解放CA1090,扭杆与变速器,1,器件
解放CA1090,发动机不能起动,1,故障
解放CA1090,踩制动踏板时大灯亮,1,故障
解放CA1090,扭杆弹力失准与变速器故障,1,故障
解放CA1090汽车,水箱,3,器件
解放CA1090汽车,水箱开锅,1,故障
解放CA1090汽车,意外,42,行为
解放CA1091汽车,消音器,3,器件
解放CA1091汽车,万向十字轴,2,器件
解放CA1091汽车,分电器盖,2,器件
解放CA1091汽车,电枢轴,1,器件
解放CA1091汽车,活塞,1,器件
解放CA1091汽车,机油尺,1,器件
解放CA1091汽车,消声器爆裂,3,故障
解放CA1091汽车,活塞环折断,2,故障
解放CA1091汽车,分电器盖窜气故障,1,故障
解放CA1091汽车,电枢轴脱焊造成起动机空转,1,故障
解放CA1091汽车,万向十字轴磨损导致动力不足,1,故障
解放CA1091汽车,机油尺屡次跳出,1,故障
解放CA1091汽车,不定时检查车况,30,行为
解放CA1092汽车,燃爆限制器,1,器件
解放CA1092汽车,发动机工作不良,2,故障
赛欧,喷油头,2,器件
赛欧,点火困难,2,故障
跃进NJ1041MS,发动机工作不正常,1,故障
跃进NJ1041MS,发电机不发电故障,1,故障
跃进NJ1041MS,使用制动后不发电,1,故障
远达SCZ3090CA,压力开关,1,器件
远达SCZ3090CA,气门脚,1,器件
远达SCZ3090CA,空调压缩机跳动,1,故障
远达SCZ5090GJYEQ,化油器故障,1,故障
远达SCZ5100,空调,3,器件
远达SCZ5100,汽油发动机,1,器件
远达SCZ5100,配气相位严重错乱,1,故障
远达SCZ5100,起动机无反应,1,故障
远达SCZ5100,汽油发动机故障,1,故障
远达SCZ5100,空调不制冷,1,故障
铁马XC2200,扁线束,1,器件
铁马XC2200,脱档,1,故障
铁马XC2200方舱车,螺栓,4,器件
铁马XC2200方舱车,分电器断电臂,1,器件
铁马XC2200方舱车,故障灯闪烁,1,故障
铁马XC2200舟桥车,混合气,11,器件
铁马XC2200舟桥车,钢板弹簧栓,1,器件
铁马XC2200舟桥车,钢板弹簧U型固定螺栓,1,器件
铁马XC2200舟桥车,轮轴螺孔,1,器件
铁马XC2200舟桥车,怠速不稳,27,故障
铁马XC2200舟桥车,制动跑偏,2,故障
铁马XC2200舟桥车,化油器保养不当,1,故障
铁马XC2200舟桥车,造成连续烧瓦,1,故障
铁马XC2200舟桥车,无法启动故障,1,故障
铁马XC2200舟桥车,空调不致冷,1,故障
铁马XC2200舟桥车,没有阅读说明书,43,行为
铁马XC2200舟桥车,驾驶不当,34,行为
铁马XC2200载重车,水泵,2,器件
铁马XC2200载重车,凸轮轴,2,器件
铁马XC2200载重车,激磁二极管,1,器件
铁马XC2200载重车,变速箱电脑,1,器件
铁马XC2200载重车,油泵,1,器件
铁马XC2200载重车,汽油管路及汽油泵,1,器件
铁马XC2200载重车,充电指示灯不熄灭,2,故障
铁马XC2200载重车,发动机机油消耗量过大,2,故障
铁马XC2200载重车,排除气阻故障,2,故障
铁马XC2200载重车,熄火，发动机故障,1,故障
铁马XC2200载重车,发动机回火,1,故障
铁马XC2200载重车,散热器开关,1,故障
铁马XC2200载重车,油泵破裂,1,故障
铁马XC2200载重车,化油器严重回火故障,1,故障
长丰猎豹,油箱,3,器件
长丰猎豹,风扇叶片,2,器件
长丰猎豹,启动机开关,1,器件
长丰猎豹,进气管,1,器件
长丰猎豹,离合器发料,1,故障
雪佛兰子弹头客车,故障灯,1,器件
雪佛兰子弹头客车,故障灯无故亮起,1,故障
风神蓝鸟,转换器,1,器件
骊山LS6911,发动不着,1,故障
黄河DD3090JFZ,分离轴承,1,器件
黄河DD3090JFZ,从动盘,1,器件
黄河DD3090JFZ,离合器异响,3,故障
黄河DD3090JFZ,发动机无法启动,3,故障
黄河DD5100GJY,怠速不稳且不易起动,1,故障
黄河DD510GYY,气门,2,器件
黄河DD510GYY,缺门反复发响,1,故障
黄河DD510GYY,发动机更换气缸后无法起动,1,故障
黄河DD510GYY,刚大修的发动机严重烧润滑铀,1,故障
